Timestamp,GyroX,GyroY,GyroZ
36:15.6,-0.152438542,-0.312892133,-2.531866449
36:15.6,-0.597156883,-0.802651186,-2.869684972
36:15.6,-0.802279409,-1.051292161,-3.221184951
36:15.7,-0.681961253,-0.850732163,-3.354824239
36:15.7,-0.389398626,-0.422822097,-3.143407065
36:15.7,-0.129222701,0.07396637,-2.768055282
36:15.7,-0.072640116,0.211811322,-2.483049641
36:15.7,-0.023377761,0.091997302,-2.392186047
36:15.7,0.05983111,-0.145528171,-2.428908375
36:15.8,0.074877437,-0.351972957,-2.500914392
36:15.8,0.067221648,-0.270778768,-2.500812393
36:15.8,0.067221648,-0.270778768,-2.500812393
36:15.8,0.123032716,-0.16112311,-2.467493851
36:15.8,0.131061081,-0.117520239,-2.571315588
36:15.8,0.131061081,-0.117520239,-2.571315588
36:15.9,0.058577293,-0.106781574,-2.648386938
36:15.9,0.00788056,-0.228461138,-2.662446031
36:15.9,0.00788056,-0.228461138,-2.662446031
36:15.9,0.092400505,-0.294631637,-2.546894934
36:15.9,0.089417231,-0.268768614,-2.515807322
36:16.0,0.049455168,-0.255444286,-2.506143509
36:16.0,0.08059338,-0.286388088,-2.416236789
36:16.0,0.148894141,-0.295962152,-2.349871613
36:16.0,0.154848703,-0.322196419,-2.295291458
36:16.0,0.097860517,-0.319619012,-2.262077845
36:16.0,0.029598106,-0.284463688,-2.23417564
36:16.1,-0.017375262,-0.232142692,-2.222320312
36:16.1,0.007352455,-0.176247735,-2.194414911
36:16.1,0.023129288,-0.16371117,-2.121584646
36:16.1,-0.011081946,-0.186550706,-2.008093237
36:16.1,-0.028815137,-0.255959076,-1.91929306
36:16.1,0.007307181,-0.335301835,-1.909761872
